id,name,orig_name,straight_position,inverted_position
56,Восьмерка Мечей,Eight of Swords,"Аркан характеризует человека его непостоянством, какими-то сомнениями. Восьмерка мечей означает и внешние, и внутренние факторы, которые свидетельствуют о проблеме. Это могут быть объективные недоразумения и те, которые исходят от самого человека.

Карта может говорить о каком-то затруднительном положении, беспомощности, капризности, ограничениях, тернистом пути к своей цели, загнанности в тупик. Получается значений у карты много. Ее также стоит воспринимать, как предупреждение о том, что грядут непредвиденные обстоятельства, которых избежать не удастся.

Человек под воздействием этого Аркана не свободен и зависим от обстоятельств. Он лишил себя свободы, и готов подчиняться чьим-то правилам и требованиям, расплачиваясь за свои ошибки, признавая и искупая свою вину. Он достаточно мудрая личность, поэтому к своим проблемам может отнестись по-философски.","Есть такое высказывание: «Ложка дегтя в бочке меда». Так вот перевернутая карта Восьмерка мечей – это ложка меда в большой бочке дегтя. Получается, что человек видит немного позитива в огромной массе негатива. Это может быть связано с предательством в прошлом, трудностями, тяжелой работой, депрессией и непредвиденными ситуациями. Но есть, конечно, и светлые стороны, которые дают человеку надежду.

В период полной беспомощности и безысходности, он может рассчитывать на завершение таких вот ограничений. И даже несмотря на то, что позитивные перемены не решат всех проблем, можно хотя бы рассчитывать на то, что некоторые из них уже остаются в прошлом. И благодаря этому, человек начинает верить в себя, свой успех.

Проблемы, которые казались столь глобальными, на самом деле не так страшны. Вместе с тем, появляется свобода действий, страха больше нет, а все ограничения близятся к завершению."
57,Семерка Мечей,Seven of Swords,"Семерка мечей имеет много значений, и в этом противоречивость данного аркана. Проблемы и сложности, которые окружаю гадающего, просто так не решить. Необходима сильная поддержка сильных покровителей.

Не стоит искать пути достижения своих целей, при этом посягая на чужое имущество. Карта выпадает людям с негативной энергетикой, способным совершать плохие поступки.

Может оказаться и так, что гадающего ждет обман или кража, поэтому карта советует быть осторожным.","Аркан говорит о том, что гадающий ленив, нерешителен, труслив, и с трудом принимает решения. Он настроен пессимистично к жизни, и не желает ничего менять. Такой человек никогда не доводит дела до конца, бросая все на половину пути.

Карта может выпасть не очень образованным людям, которые могут быть склонны к правонарушениям. Как правило, это - преступники, которым не удаётся завершить свои темные дела, и их ловят на горячем."
58,Шестерка Мечей,Six of Swords,"Шестерка мечей говорит о том, что наступило время перемен. Гадающий человек хочет изменить свою жизнь, но боится всего нового, так как является консерватором по натуре. Придётся заниматься какими-то хлопотами.

Не исключено, что гадающий человек увлечется одним из религиозных течений. Тогда его жизненные ценности станут абсолютно другими, и изменится его окружение. Период адаптации пройдёт успешно. В новой обстановке для него начнётся период счастливых событий. Ему будут помогать даже незнакомые люди.","Шестерка мечей характерна для тех людей, которые всё привыкли делать не спеша. Их нельзя назвать лёгкими на подъём. Как только намечается тревожное событие, такие личности начинают теряться. Им очень сложно, так как им трудно оставить в прошлом проблемы и идти дальше по жизни.

Сомнения и переживания, боязнь вновь повторить ошибку мешают им плыть по течению жизни. Окружающие должны постоянно оказывать им помощь, подпитывать положительной энергетикой."
59,Пятерка Мечей,Five of Swords,"Пятерка мечей несёт крайне негативное значение. Основные значения: тревога, подлость, страх, унижение, потеря, крах планов. У человека в жизни - чёрная полоса, ему не везёт ни в чём.

Стрессы, слёзы, конфликты способствуют тому, что ему кажется, что просвета в улучшении ситуации никогда не будет. Он в отчаянии, ему кажется, что весь мир вступил с ним в противоборство.","В перевернутом положении, карта, по-прежнему не несет ничего хорошего. Только здесь чувства человека могут быть связаны с трауром. Или сам гадающий может погибнуть, или ему придётся побывать на похоронах близкого человека. Глубокое горе, отчаяние, угрызения совести от своих поступков в прошлом - вот что ждёт гадающего.

Одним словом, карта очень трагична. Человек страдает очень сильно, и близкие люди и друзья не в состоянии помочь в решении его проблем. Кажется нереальным, что неприятностей сразу так много случается с одним человеком сразу."
60,Четверка Мечей,Four of Swords,"Четвёрка мечей указывает на то, что гадающий человек отгородился от окружающих. Ему не хочется никого видеть, все валится из рук, в делах застой. Главное не уходить в себя, ведь это может обернуться глубокими душевными расстройствами. Надо попросить помощи у тех, кто рядом, и она будет оказана. Стабилизировать душевное состояние поможет посещение святых мест.

Возможно, гадающий человек на данный момент болен. Скорейшее выздоровление ждёт его в ближайшее время, и тогда вернётся и оптимистичный настрой.
Еще одна трактовка аркана говорит о том, что гадающий совершил неблаговидный поступок, или наоборот, какое-то доброе дело. Аркан чаще всего выпадает трудоголикам. Они работают больше других, поэтому, буквально, валятся с ног, и совершают ошибки на работе. Отдых - вот что, в первую очередь, нужно гадающему сейчас.","Развитие, прогресс, движение - вот что говорит перевернутая четвёрка мечей. Нельзя утверждать, что карта несёт абсолютно положительную трактовку, так как внезапные перемены могут выбить из колеи любого человека.

Возможно, сейчас идет период восстановления после длительной болезни. У гадающего человека может появиться бессонница.

Не стоит с большим энтузиазмом бросаться в работу после длительного перерыва. Всё надо делать постепенно. Карта говорит о том, что гадающий слишком скуп в своём желании экономить деньги.
Карта говорит, что скоро появится личность, которую в обществе люди стараются избегать. Может, гадающего ждёт встреча с тем, кто склонен к правонарушениям."
61,Тройка Мечей,Three of Swords,"Тройка мечей символизирует боль, слёзы, горе, потерю близкого человека, тревоги, разочарования, что может вызвать сильную депрессию. Возможно, что гадающего человека бросили, и он находится в состоянии апатии.

Постоянные неудачи выбили его из нормального жизненного цикла. Он раздражён, постоянно ссорится с окружающими. У него могут быть проблемы с сердцем.","Перевернутый аркан говорит о том, что гадающий человек, мог сам отвергнуть любовь, из-за чего сейчас сильно переживает. Возникают мысли о бренности земного бытия, бессмысленности жизни и т.п. Возможно, в планах гадающего уйти в монастырь. Это скорее всего связано с тем, что энергетический потенциал сведён к нулю.

Нет веры в то, что судьба подарит счастливые события. Жизнь для него потеряла всякий смысл. Окружающие его считают озлобленным и грубым. Просто они не знают причин его поведения. Он делает всё больше ошибок, совершая необдуманные поступки."
62,Двойка Мечей,Two of Swords,"Двойка мечей - это знак того, что человек в силу каких-то причин закрылся от окружающих. Он хочет, чтобы его никто не трогал, в его проблемы никто не вмешивался. Окружающие в данный период раздражают.

Гадающий человек, ищет помощи от других, но и в то же время, ни от кого её принимать не хочет. Карта говорит о таких чертах характера, как: эмоциональность, богатое воображение, застенчивость, сдержанность, доброта.

Таким людям необходима эмоциональная поддержка, поскольку они очень чувствительны и остро реагируют на каждое слово. Обычно, карта символизирует людей, рождённых под покровительством Луны.","Карта в перевернутом положении, несет в себе угрозу. Это может быть обман, неудачная покупка, возможная авария. Следует взвешивать свои слова, а за поступками следить, чтобы избежать неприятных событий. Сейчас надо настроиться на быстрый результат и перемены.

Человеку необходимо прислушаться к внутреннему голосу. Его нерешительность часто вредит ему в жизни, поэтому события развиваются не так, как хотелось бы. Тревоги и сомнения - вот причина всех бед.

Есть риск того, что придётся столкнуться с коварством и предательством. Кто-то из друзей может обмануть. Чувство покоя зыбко. Надо перестать обсуждать других людей и плести интриги."
63,Туз Мечей,Ace of Swords,"Туз мечей – аркан триумфа и победы. Все сомнения оставляйте позади. Внесите во все сферы своей жизни ясность, так жить станет намного легче и веселее, не придется каждодневно ломать голову над всякими мелочами. Можно посвятить это время чему-то большему.

Возможно, у вас родятся новые планы и замыслы, которым суждено осуществиться, если приложить достаточно усилий. Если в данный момент в жизни кризисный момент, карту можно трактовать как исчезновение неприятностей.

Если решились на новое дело, не совершайте необдуманных поступков, действуйте трезво, ясно оценивая каждый свой шаг. Можно воспользоваться собственной властью, но не перебарщивайте. Есть вероятность, что в скором времени появится новый стимул. Делающий расклад избавится от зависимостей, его ждет серьезный разговор, выяснение отношений с партнером. Если отказаться от иллюзий, союз распадется.

Аркан трактуется как свобода, решительность, логика, дисциплина и организованность. Не исключены проблемы со здоровьем, которые возможно решить только хирургическим вмешательством. Обязательно посетите врача, пройдите медицинское обследование. Если сейчас происходит некомфортная и неприятная ситуация, не отчаивайтесь, из нее образуется многообещающий проект.","Туз Мечей в перевернутом положении говорит о том, что проблема, над которой вы сейчас работаете, нерешаема. В ближайшем будущем ожидает расставание с семьей, развод с супругом, и это станет настоящим ударом судьбы.

Предостерегает аркан о проблемах не только с начальством, но и с законом. Это получится в результате несправедливости, злоупотребления власти и либо насилия.
Тот, кто делает расклад, серьезно болен. Возможно, у него травма вследствие ранения. Требуется операция, которая может пройти с осложнениями.

Долгожданная беременность обернется полным разочарованием, ведь произойдет неожиданный разрыв с партнером, с кем были серьезные и длительные отношения."
64,Король Пентаклей,King of Pentacles,"В раскладе на характер трактуется карта как обозначение умной и дружелюбной личности. Он состоялся в жизни, многого достиг, у него богатый жизненный опыт. Такой человек мудр и храбр, решителен даже в самых сложных ситуациях.

Чтобы достичь целей придется быть более практичным и настойчивым, просто так успех не придет. Успех в делах будет только при том условии, если вы сосредоточите на этом все ваше внимание, личные заботы перестанут интересовать.

Прислушивайтесь к собственному подсознанию, карта символизирует отличный инстинкт и чутье. Будьте терпеливы, проблемы, которые сейчас вы пытаетесь преодолеть, скоро закончатся. В жизни появится радость, поделитесь ею с близкими людьми.
Вы отлично сможете работать в одной команде, где вас будут уважать, прислушиваться к мнению, следовать рекомендациям. Гадающий почувствует себя частью одного слаженного механизма, это, несомненно, принесет моральное удовлетворение.

В душе будет чувствоваться теплота и гармония, дружеский союз будет крепок, а супружеский подпитан настоящей любовью, кроме того, физическим удовольствием, страстью. Однако если отсутствует чувство безопасности, вы испытаете ревность.","В раскладе на характер, перевернутый король пентаклей обозначает прагматичного, расчетливого, упрямого, самоуверенного и меркантильного человека. Кроме того, он подлый и бесчувственный.

Возможно, в скором времени вас настигнет чувство тревоги, неуверенности по причине глупого суеверия. Вы будете в полной мере озабочены финансовыми делами, одержимы работой.

Не совершайте нечестных поступков, это пойдет во вред только вам. Аркан может свидетельствовать о том, что в окружении есть подстрекатели. У вас скверная финансовая репутация в обществе."
65,Королева Пентаклей,Queen of Pentacles,"Королева пентаклей говорит о зрелости, опытности, здравомыслии, выносливости, безмятежности, плодородии. А значит, карта имеет позитивную и достойную сторону, и несет положительные моменты.

Кроме того, присутствует стабильность и спокойствие, человек становится терпеливым, чувственным и предусмотрительным. Его труды оценены по достоинству, он умеет находить удовольствия даже в повседневных делах.

Как правило, карта чаще всего выпадает не юной женщине, она много знает и обладает превосходным материнским инстинктом. Она является хорошей хозяйкой, чуткой матерью и заботливой супругой.
Под воздействием этой карты, у женщины праздничное настроение, ей хочется, чтобы все было достойно и прилично, в общем, все как у людей. Она за стабильность и безопасность материальных ценностей. Именно поэтому ей важно иметь не только стабильный доход, но и прочные семейные узы, дом со страховкой в придачу.

Карта подразумевает хлопоты и заботы со всеми его радостями, которые связаны с приятными покупками, хозяйством, ручным трудом, созданием уютной атмосферы, наведением порядка.","С перевернутой картой, гадающий человек не стремится развиваться и совершенствоваться, порой даже опускается. И это может происходить как в глобальной области, так и обыденной.

Возможно, речь идет о некудышной хозяйке, которая много лет назад не умела готовить, да и сейчас особо не отличается кулинарными способностями. Или речь идет о человеке, который боится чего-то нового, он не хочет в этом даже разбираться. Не исключено, что такое поведение может оказаться врожденным.

Непрактичность человека может привести его к утери больших возможностей, а еще хуже если человек в итоге опустится до бедности. Человек постоянно оглядывается, прислушивается к чужому мнению, зависим от людских советов. Как правило, он безответственный, подозрительный, недоверчивый, безалаберный. Ему бывает недостаточно логики и здравого смысла."
66,Рыцарь Пентаклей,Knight of Pentacles,"С картой рыцарь пентаклей, человек ведет себя энергично и напористо. Он умеет концентрировать свое внимание на конкретной цели и даже в чем-то проявляет инициативу. Все эти цели в основном реалистичные и прагматичные. Это тот период жизни, когда человек находится в разгаре своих замыслов и планов. Притом он все делает последовательно и терпеливо, и неудивительно, что добивается хороших результатов.

Карта описывает мужчину средних лет, который занимается производственной деятельностью. Хотя это может быть и молодой человек, который давно определился со своими целями в жизни.

Аркан характеризует человека как дисциплинированную и педантичную личность, которая бывает весьма бескомпромиссной. Рыцарь пентаклей вносит в жизнь человека ответственность, добросовестность, исполнительность, силу воли. И его дорога к успеху проложена благодаря упорному труду и уверенности в собственных силах.

Гадающий человек должен развивать свои способности, у него появляется прекрасная возможность иметь стабильный достаток, увеличить собственное благосостояние, и нести пользу людям, выполняя свое дело.","Перевернутый рыцарь пентаклей показывает замедленность действий. Человек, который делает свое дело, как бы недополучает отдачу. Его может не устраивать результат выполненной работы или желаемый эффект. А причиной тому могут стать: жадность, упрямство, отсутствие удовлетворенного планирования.

Человек не склонен рисковать, даже если риск оправданный. Но ему всегда будет казаться, что все, что он делает – это правильно. В его характере будут проявляться такие черты, как: скупость, черствость, беспечность, недовольство.

В перевернутом положении, человек не пожелает брать на себя ответственность, а может и вовсе утратит интерес к делу. А ведь причиной могут стать - проблемы со здоровьем. Карта указывает на то, что у человека начался период застоя, его тяготит рутина. Он сбился с пути, и просто не знает чего бы смог добиться в том или ином деле.

Не исключено, что эта карта может выпасть закоренелому лентяю, которого не так-то просто «раскачать», чтобы он сдвинулся с места."
67,Паж Пентаклей,Page of Pentacles,"С картой паж пентаклей, человек реализует себя в жизни. К делу он подходит с творческим подходом, ведет себя чувственно и естественно. Благодаря этому человек развивается и растет в профессиональном плане. Карта может свидетельствовать о будущем, которое в скором времени ожидает гадающего человека. Например, это может быть связано хорошим урожаем или с рождением ребенка в будущем, каким-то конкретным результатом (завершенный отчет).

Как правило, карта описывает молодого человека (парня или девушку), который имеет талант к прикладному искусству, способен создавать невероятные произведения искусства. И, несмотря на молодость, в человеке чувствуется, что он мастер своего дела. Он отличается хорошим здоровьем, имеет замечательную систему ценностей. У него очень правильная этика и чувство морали.

Полученная информация будет связана с образованием, работой и доходами. Карта имеет положительное значение и благоприятно влияет на решение повседневных вопросов.","Перевернутый аркан имеет негативную сторону, так как человек под его воздействием пренебрегает духовным развитием, проявляет свою жадность и эгоизм, становится суетливым и расточительным.

Когда просматривается характер человека, то подразумевается его лень, мелочность. Порой он даже совершает нелогичные поступки, бывает слишком расточительным, и не отличается хорошим здоровьем. В зависимости от разных ситуаций у него часто меняется настроение. Такой человек может несерьезно относиться к жизни, даже не пытаясь анализировать проблемы.

Одна из главных проблем такого человека - недоверие, ведь он просто не верит людям, их поступкам и словам. Он не учится на своих ошибках, поэтому упускает шанс, связанный с учебой, рискует потерять материальные блага. В нем заметно проявляется тяга к шикарной жизни за чужой счет. Все его возможности для зарабатывания денег оказываются неудачными."
68,Десятка Пентаклей,Ten of Pentacles,"Карта характеризует гадающего как мудрого человека, который обрел покой. Длительное дело увенчалось успешным разрешением.

В семейных делах полная стабильность, отличные отношения между детьми и родителями, старшим и младшим поколением.

Наступает благоприятное время для развития в духовном плане. Есть вероятность, что проявятся умения, которые передались по наследству.","К успеху придется идти долго, окольными путями. Перевернутая карта говорит о семейных скандалах, недопонимании между домочадцами. Хорошим взаимоотношениям всегда что-то мешает.

Есть вероятность, что гадающий потеряет хорошую репутацию в обществе, собственную честь. Не исключено, что он понесет большие финансовые потери. У него отсутствует мотивация что-либо делать для того, чтобы повысить доходы, наладить гармоничные отношения в семье.

Карта говорит о том, что кто-то из членов семьи может тяжело заболеть, лечение будет дорогостоящим и долгосрочным."
69,Девятка Пентаклей,Nine of Pentacles,"Основное значение карты - завершение долгосрочной работы. Однако окончание не делает человека счастливым. Гадающий может нуждаться в совете, но не знает к кому обратиться за ним. Карта подсказывает, что совет следует просить у мудрой женщины в годах.

Аркан характеризует гадающего человека, у которого нет ни капли коммуникабельности и дружелюбия, только эгоизм, желание уединиться от внешнего мира.

Есть вероятность, что гадающий человек, скоро обнаружит в себе такие важные качества как личностный рост, богатство внутреннего мира.
Финансовые успехи вполне заслужены, деньги не падают с неба, а достаются трудным путем и самопожертвованиями.","Аркан говорит о том, что гадающий человек не получает удовлетворения от заслуженных финансовых побед.

В ближайшее время могут произойти глобальные потери: семья, друзья, дом и т.п. Есть вероятность, что возникнут проблемы с законом.

Девятка пентаклей в перевернутом положении говорит о том, что настало время пересмотреть систему собственных целей и ценностей. Возможно, потерять часть доходов или полностью их лишиться.

Следуйте зову сердца, души и подсознания. Оно укажет правильный путь, даст идею, как поступить в той или иной ситуации."
70,Восьмерка Пентаклей,Eight of Pentacles,"Восьмерка пентаклей символизирует человека, который трудится на благо других людей. Он создает ценности как материальные, так и духовные. Этот человек свободен и успешен, но только лишь в том случае, если не ищет личную выгоду.

Если гадающий находится в поиске работы, то совсем скоро он найдет работу своей мечты. Может возникнуть желание развить свои профессиональные навыки. Все новое, за что вы возьметесь, увенчается успехом.

Карта предвещает полезные знакомства, которые могут помочь в будущем. Будьте более контактны, чтобы расширить свой круг общения.","Карта говорит о напрасном труде и усилиях гадающего человека. Это вовсе не говорит о провале в деле, но нужен наставник-покровитель, который даст правильные советы.

В вашем окружении много лживых людей, мошенников и любителей темных авантюр, поэтому следует быть аккуратнее в общении с ними."
71,Семерка Пентаклей,Seven of Pentacles,"Важный критерий успеха в деле – быть терпеливым. В течение года ваш труд обязательно вознаградят достойной оплатой. Не переживайте за то, что усилия окажутся напрасными, даже если возникает подобное предчувствие – оно ложное.

Если работа выполнена, а результатов все нет, то следует подкорректировать либо сделать что-то дополнительное. Аркан свидетельствует о личностном росте в ближайший период времени, но он будет очень медленным.

Перед тем, как начать новое дело, предстоит взвесить, стоит ли этим заниматься, что с этого возможно получить. Никогда не торопитесь, это наоборот отодвинет конечный результат.","Избегайте авантюрных дел и азартных игр, ведь сейчас фортуна не на вашей стороне. Карта говорит о быстром движение в пустоту, которая не несет себе ничего полезного: ни возможностей, ни шансов, ни успеха.

Есть вероятность проблем со здоровьем, заболевание связано с инфекцией. Избегайте таких эмоций как нетерпение, нервозность и беспокойство, иначе наступит период депрессии."
72,Шестерка Пентаклей,Six of Pentacles,"В раскладе на характер гадающего, карта указывает на гордого и самовлюбленного человека, который берет на себя слишком много. Он считает себя владыкой, хотя в его руках власть не так уж и велика. Часто это просто жулик, мошенник, который пользуется чужой славой.

Трактуется шестерка пентаклей и как призыв к благотворительности. Это символ подарка, премиальной выплаты, возврата долгов. Кто-то великодушный из вашего окружения обязательно придет на помощь в трудную минуту. Аркан говорит об удачном проекте, который вы недавно начали или только начнете.

Будьте внимательны при выборе наставника, иногда этот фактор оказывается важнейшим. Беспокойтесь не только за собственное будущее, но и за день сущий. Как только получите крупную сумму денег, отложите ее на важные события.","Вы можете попасть в неудобное финансовое положение, это будет связано с рабочим процессом, бизнесом. Возможно, для какого-то важного проекта, который является очень перспективным, потребуется инвестирование, но вы его не получите. Тем самым дело не получит развития. Воздержитесь от заключения сделок, вас могут обмануть даже те, от кого вы не ожидаете мошенничества.

Карта подсказывает, что ревность и зависть, которые чувствует гадающий человек, могут плохо повлиять на здоровье, так как являются вредными и бесполезными мыслями."
73,Пятерка Пентаклей,Five of Pentacles,"Чаще всего пятерка пентаклей выступает символом беспокойства. Это может быть мотивированная тревога – деловые сложности, слишком большие нагрузки, большая ответственность, риск потерять что-либо ценное, а также беспричинные страхи – фобии, депрессию.

При этом обычно карта в таком положении выпадает людям, склонным жить ощущениями, одним днем, без четких планов и расчетов на будущее. В этом случае карта указывает на то, что причина беспокойств кроется именно в такой жизненной позиции.

В положительном аспекте карта может означать период испытаний, назначение которого – подготовить человека к новому этапу его существования, развить и укрепить его душевно. В этом смысле карта призывает встречать удары судьбы достойно, идти на сознательные самоограничения, проявить терпение и выдержку.","В перевернутом положении, карта имеет достаточно оптимистическое значение. Чаще всего появление карты в таком положении говорит о том, что в данный момент у гадающего человека в жизни «черная полоса», но она уже заканчивается.

В этом случае, появление данного аркана следует принять, как рекомендацию отнестись к проблемам философски, проявить терпение, поскольку вскоре дела начнут понемногу налаживаться сами собой.

Пятерка пентаклей говорит, что решение проблемы у гадающего уже найдено, либо оно придет к нему в ближайшее время. Это может быть и его собственное действие, и стороннее влияние."
